respondent_id,level,format,experience,story,question,question_type,response_text,response_length_words,anchor_local,anchor_global,anchor_causal,anchor_mean_themes,anchor_theme_loyalty,anchor_theme_empathy,anchor_theme_peer_pressure,anchor_theme_kindness,keyword_composite,sim_WAYPOINT0,sim_WAYPOINT1,sim_WAYPOINT2,sim_WAYPOINT3,prediction_top_sim,prediction_margin,predicted_waypoint,semantic_quality,has_semantic_score,overall_composite,anchor_theme_loyalty_vs_honesty,anchor_theme_friendship,anchor_theme_integrity,anchor_theme_peer_loyalty,anchor_theme_temptation,anchor_theme_honesty,anchor_theme_consequences,anchor_theme_greed
R0002,WAYPOINT0,comic,little,stealing,q3,inference,"Um, maybe that you should eat ice cream outside.",9,0.2,0.0,0.0,0.25,,,,,0.0875,0.645,0.4336,0.4021,0.3691,0.645,0.2114,,0.4226,True,0.2886,,,,,0.0,1.0,0.0,0.0
R0002,WAYPOINT0,comic,little,stealing,q4,metacognitive,Because the boy is eating his ice cream at the blue table in the picture.,15,0.2,0.0,0.0333,0.0,,,,,0.0617,0.6347,0.4258,0.383,0.4108,0.6347,0.2089,,0.4358,True,0.2862,,,,,0.0,0.0,0.0,0.0
R0003,WAYPOINT0,text,little,cat,q1,inference,Um I don't really know. Maybe because cats like to drink milk.,12,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.0,0.0375,0.7119,0.5234,0.5267,0.4572,0.7119,0.1852,WAYPOINT0,0.4429,True,0.2807,,,,,,,,
R0003,WAYPOINT0,text,little,cat,q2,metacognitive,I saw a cat drink milk from a bowl once.,10,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0375,0.5073,0.5286,0.334,0.4511,0.5286,0.0213,,0.4668,True,0.2951,,,,,,,,
R0003,WAYPOINT0,text,little,cat,q3,inference,you should always wear a seatbelt.,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3407,0.3655,0.3985,0.3148,0.3985,0.0329,,0.4947,True,0.2968,,,,,,,,
R0003,WAYPOINT0,text,little,cat,q4,metacognitive,cause my mom tells me to do that in the car.,11,0.0,0.2,0.0667,0.25,0.0,0.0,1.0,0.0,0.1108,0.7032,0.3675,0.4023,0.3635,0.7032,0.301,WAYPOINT0,0.4107,True,0.2907,,,,,,,,
R0003,WAYPOINT0,text,little,lying,q1,inference,I don't know why.,4,0.0,0.0,0.0,0.0,,,,,0.0,0.6455,0.4489,0.3817,0.3479,0.6455,0.1967,,0.4123,True,0.2474,0.0,0.0,0.0,0.0,,,,
R0003,WAYPOINT0,text,little,lying,q2,metacognitive,It just doesn't say in the story.,7,0.0,0.0,0.0,0.0,,,,,0.0,0.5402,0.5498,0.4938,0.5582,0.5582,0.0084,,0.4998,True,0.2999,0.0,0.0,0.0,0.0,,,,
R0003,WAYPOINT0,text,little,lying,q3,inference,that tests are 40 minutes long.,6,0.2,0.0,0.0333,0.0,,,,,0.0617,0.4109,0.4151,0.3079,0.3097,0.4151,0.0042,,0.4526,True,0.2962,0.0,0.0,0.0,0.0,,,,
R0003,WAYPOINT0,text,little,lying,q4,metacognitive,cause the teacher said you have 40 minutes.,8,0.2,0.0,0.0,0.0,,,,,0.05,0.5829,0.5094,0.3342,0.3356,0.5829,0.0735,,0.4133,True,0.268,0.0,0.0,0.0,0.0,,,,
R0003,WAYPOINT0,text,little,stealing,q1,inference,"Um, maybe because wallets can hold pictures.",7,0.0,0.0,0.0,0.0,,,,,0.0,0.4489,0.5356,0.4737,0.5113,0.5356,0.0243,,0.5106,True,0.3064,,,,,0.0,0.0,0.0,0.0
R0003,WAYPOINT0,text,little,stealing,q2,metacognitive,My mom keeps pictures in her wallet so I just thought of that.,13,0.2,0.0,0.0333,0.25,,,,,0.0992,0.3937,0.4588,0.3769,0.4512,0.4588,0.0076,,0.509,True,0.3451,,,,,1.0,0.0,0.0,0.0
R0003,WAYPOINT0,text,little,stealing,q3,inference,I don't really know a lesson. Maybe that the beach is pretty.,12,0.2,0.0,0.0,0.0,,,,,0.05,0.8016,0.6167,0.5984,0.4897,0.8016,0.1849,WAYPOINT0,0.4366,True,0.282,,,,,0.0,0.0,0.0,0.0
R0003,WAYPOINT0,text,little,stealing,q4,metacognitive,"I just didn't know what to say, but he rode his bike to the beach at the start.",18,0.4,0.0,0.0,0.25,,,,,0.1375,0.4456,0.397,0.3971,0.4658,0.4658,0.0202,,0.5059,True,0.3585,,,,,1.0,0.0,0.0,0.0
R0004,WAYPOINT0,comic,none,cat,q1,inference,i dont know.,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5589,0.321,0.2966,0.2737,0.5589,0.2379,,0.3989,True,0.2393,,,,,,,,
R0004,WAYPOINT0,comic,none,cat,q2,metacognitive,i dont know how to do this.,7,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.0,0.0375,0.6333,0.2662,0.3639,0.2805,0.6333,0.2694,,0.3963,True,0.2528,,,,,,,,
R0004,WAYPOINT0,comic,none,cat,q3,inference,cats drink milk.,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6437,0.4329,0.2613,0.4033,0.6437,0.2108,,0.4145,True,0.2487,,,,,,,,
R0004,WAYPOINT0,comic,none,cat,q4,metacognitive,i saw a cat drink milk on tv.,8,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0375,0.3739,0.5248,0.3254,0.4721,0.5248,0.0528,,0.5094,True,0.3206,,,,,,,,
R0004,WAYPOINT0,comic,none,lying,q1,inference,i dont no.,3,0.0,0.0,0.0,0.0,,,,,0.0,0.5293,0.3808,0.3181,0.2711,0.5293,0.1485,,0.4069,True,0.2441,0.0,0.0,0.0,0.0,,,,
R0004,WAYPOINT0,comic,none,lying,q2,metacognitive,im not sure.,3,0.0,0.0,0.0,0.0,,,,,0.0,0.5583,0.3611,0.3721,0.2877,0.5583,0.1862,,0.4155,True,0.2493,0.0,0.0,0.0,0.0,,,,
R0004,WAYPOINT0,comic,none,lying,q3,inference,math is hard to do.,5,0.2,0.2,0.0667,0.25,,,,,0.1608,0.95,0.4073,0.3523,0.3197,0.95,0.5427,WAYPOINT0,0.3402,True,0.2684,1.0,0.0,0.0,0.0,,,,
R0004,WAYPOINT0,comic,none,lying,q4,metacognitive,because they are in math class.,6,0.2,0.0,0.0333,0.0,,,,,0.0617,0.672,0.5331,0.3646,0.3655,0.672,0.1389,WAYPOINT0,0.4063,True,0.2685,0.0,0.0,0.0,0.0,,,,
R0004,WAYPOINT0,comic,none,stealing,q1,inference,I dont know.,3,0.0,0.0,0.0,0.0,,,,,0.0,0.9638,0.3687,0.3161,0.2945,0.9638,0.5951,WAYPOINT0,0.3232,True,0.1939,,,,,0.0,0.0,0.0,0.0
R0004,WAYPOINT0,comic,none,stealing,q2,metacognitive,i dont know what to write.,6,0.0,0.0,0.0,0.0,,,,,0.0,0.6536,0.2803,0.3284,0.347,0.6536,0.3067,WAYPOINT0,0.4097,True,0.2458,,,,,0.0,0.0,0.0,0.0
R0004,WAYPOINT0,comic,none,stealing,q3,inference,ice cream is good.,4,0.2,0.0,0.0,0.0,,,,,0.05,0.8029,0.3302,0.319,0.3123,0.8029,0.4726,WAYPOINT0,0.3599,True,0.2359,,,,,0.0,0.0,0.0,0.0
R0004,WAYPOINT0,comic,none,stealing,q4,metacognitive,he eats ice cream at the table.,7,0.2,0.0,0.0,0.0,,,,,0.05,0.601,0.3597,0.3775,0.3612,0.601,0.2235,,0.4312,True,0.2787,,,,,0.0,0.0,0.0,0.0
R0005,WAYPOINT0,text,lot,cat,q1,inference,He kept the cat because domestic felines are historically descended from wildcats and are currently one of the most common household pets globally.,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5912,0.7204,0.7194,0.5701,0.7204,0.0009,,0.4959,True,0.2975,,,,,,,,
R0005,WAYPOINT0,text,lot,cat,q2,metacognitive,I thought of this fact because I recently watched a rather fascinating documentary regarding the evolutionary history and domestication of urban animals.,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4449,0.405,0.3518,0.4224,0.4449,0.0225,,0.4876,True,0.2926,,,,,,,,
R0005,WAYPOINT0,text,lot,cat,q3,inference,"To be completely honest, I do not believe there is any coherent moral or lesson to be extracted from this particular narrative.",22,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.0,0.0375,0.7095,0.6004,0.5678,0.5168,0.7095,0.1092,WAYPOINT0,0.4575,True,0.2895,,,,,,,,
R0005,WAYPOINT0,text,lot,cat,q4,metacognitive,I reached this conclusion simply because the events described are quite literal and do not seem to convey any deeper philosophical meaning or ethical takeaway.,25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0375,0.4869,0.4495,0.3685,0.4927,0.4927,0.0057,,0.4941,True,0.3115,,,,,,,,
R0005,WAYPOINT0,text,lot,lying,q1,inference,I genuinely have absolutely no idea why Sarah ultimately chose to respond to Ms. Craig in that manner.,18,0.2,0.0,0.0333,0.0,,,,,0.0617,0.5045,0.5739,0.5334,0.5816,0.5816,0.0078,,0.5145,True,0.3334,0.0,0.0,0.0,0.0,,,,
R0005,WAYPOINT0,text,lot,lying,q2,metacognitive,"I arrived at this conclusion simply because I could not extract a coherent justification from the passage, leaving me entirely uncertain about her underlying rationale.",25,0.0,0.0,0.0,0.0,,,,,0.0,0.5039,0.4362,0.3746,0.4951,0.5039,0.0089,,0.4919,True,0.2951,0.0,0.0,0.0,0.0,,,,
R0005,WAYPOINT0,text,lot,lying,q3,inference,A fascinating lesson one might draw from this narrative is that the architectural layout of contemporary middle school classrooms typically features desks arranged in sequential rows.,26,0.0,0.0,0.0,0.0,,,,,0.0,0.4619,0.5256,0.4694,0.4754,0.5256,0.0502,,0.4987,True,0.2992,0.0,0.0,0.0,0.0,,,,
R0005,WAYPOINT0,text,lot,lying,q4,metacognitive,My reasoning stems directly from the detail that Rachel was able to look over the shoulder of the student positioned immediately in front of her.,25,0.4,0.0,0.1333,0.0,,,,,0.1467,0.3638,0.6864,0.4477,0.5392,0.6864,0.1472,WAYPOINT1,0.5235,True,0.3728,0.0,0.0,0.0,0.0,,,,
R0005,WAYPOINT0,text,lot,stealing,q1,inference,I am honestly completely unsure as to why Billy chose to hold onto the wallet.,15,0.4,0.0,0.1333,0.0,,,,,0.1467,0.4584,0.7779,0.7526,0.7469,0.7779,0.0253,,0.5512,True,0.3894,,,,,0.0,0.0,0.0,0.0
R0005,WAYPOINT0,text,lot,stealing,q2,metacognitive,"The narrative just states that he grabbed it after the lady walked away, so I don't really know how to explain his actual motivation.",24,0.2,0.0,0.0333,0.25,,,,,0.0992,0.4216,0.5094,0.5325,0.5762,0.5762,0.0437,,0.5398,True,0.3636,,,,,1.0,0.0,0.0,0.0
R0005,WAYPOINT0,text,lot,stealing,q3,inference,One lesson someone might take away is that it is incredibly important to stay hydrated while exercising during a bike trip to the beach.,24,0.4,0.0,0.0667,0.0,,,,,0.1233,0.468,0.469,0.4858,0.5022,0.5022,0.0164,,0.5104,True,0.3556,,,,,0.0,0.0,0.0,0.0
R0005,WAYPOINT0,text,lot,stealing,q4,metacognitive,"I thought of this because riding a bicycle requires a substantial amount of physical exertion, and proper hydration is key to maintaining your overall stamina.",25,0.2,0.0,0.1,0.0,,,,,0.085,0.3517,0.3065,0.3722,0.4109,0.4109,0.0387,,0.5281,True,0.3509,,,,,0.0,0.0,0.0,0.0
R0006,WAYPOINT0,text,none,cat,q1,inference,cats drink milk,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5718,0.4549,0.4549,0.4076,0.5718,0.1169,,0.4565,True,0.2739,,,,,,,,
R0006,WAYPOINT0,text,none,cat,q2,metacognitive,my grandma has a cat,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5741,0.4755,0.3235,0.4261,0.5741,0.0986,,0.4448,True,0.2669,,,,,,,,
R0006,WAYPOINT0,text,none,cat,q3,inference,i dont know,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5788,0.2965,0.2776,0.2474,0.5788,0.2823,,0.3794,True,0.2276,,,,,,,,
R0006,WAYPOINT0,text,none,cat,q4,metacognitive,im not sure,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5342,0.2926,0.3587,0.2844,0.5342,0.1755,,0.4225,True,0.2535,,,,,,,,
R0006,WAYPOINT0,text,none,lying,q1,inference,i dont know,3,0.0,0.0,0.0,0.0,,,,,0.0,0.5682,0.4156,0.3476,0.2869,0.5682,0.1526,,0.4061,True,0.2437,0.0,0.0,0.0,0.0,,,,
R0006,WAYPOINT0,text,none,lying,q2,metacognitive,im just not sure,4,0.0,0.0,0.0,0.0,,,,,0.0,0.5609,0.3445,0.3809,0.289,0.5609,0.18,,0.4175,True,0.2505,0.0,0.0,0.0,0.0,,,,
R0006,WAYPOINT0,text,none,lying,q3,inference,math is fun,3,0.2,0.0,0.0,0.0,,,,,0.05,0.7012,0.323,0.2652,0.2484,0.7012,0.3783,WAYPOINT0,0.3465,True,0.2279,0.0,0.0,0.0,0.0,,,,
R0006,WAYPOINT0,text,none,lying,q4,metacognitive,i like math at school,5,0.2,0.0,0.0,0.0,,,,,0.05,0.6248,0.3757,0.2944,0.2943,0.6248,0.2491,,0.3875,True,0.2525,0.0,0.0,0.0,0.0,,,,
R0006,WAYPOINT0,text,none,stealing,q1,inference,i dont know.,3,0.0,0.0,0.0,0.0,,,,,0.0,0.9668,0.3592,0.3048,0.291,0.9668,0.6077,WAYPOINT0,0.3195,True,0.1917,,,,,0.0,0.0,0.0,0.0
R0006,WAYPOINT0,text,none,stealing,q2,metacognitive,im just not sure.,4,0.0,0.0,0.0,0.5,,,,,0.075,0.8937,0.2695,0.3523,0.29,0.8937,0.5414,WAYPOINT0,0.3404,True,0.2342,,,,,1.0,0.0,0.0,1.0
R0006,WAYPOINT0,text,none,stealing,q3,inference,ice cream tastes good.,4,0.2,0.0,0.0,0.0,,,,,0.05,0.7906,0.3132,0.3291,0.3039,0.7906,0.4615,WAYPOINT0,0.3614,True,0.2368,,,,,0.0,0.0,0.0,0.0
R0006,WAYPOINT0,text,none,stealing,q4,metacognitive,he ate ice cream.,4,0.2,0.0,0.0,0.0,,,,,0.05,0.7222,0.3648,0.4015,0.3943,0.7222,0.3206,WAYPOINT0,0.4162,True,0.2697,,,,,0.0,0.0,0.0,0.0
R0007,WAYPOINT0,text,moderate,cat,q1,inference,"I don't really know, maybe he just likes to have animals around because they eat bugs.",16,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.0,0.0375,0.5625,0.5445,0.5304,0.4221,0.5625,0.0179,,0.4648,True,0.2939,,,,,,,,
R0007,WAYPOINT0,text,moderate,cat,q2,metacognitive,I couldn't really find the exact answer so I just guessed since my own cat eats bugs at my house.,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5392,0.4543,0.3376,0.3983,0.5392,0.0849,,0.448,True,0.2688,,,,,,,,
R0007,WAYPOINT0,text,moderate,cat,q3,inference,A good lesson is that you should always bring a jacket or umbrella when you go outside on a cloudy day.,21,0.2,0.2,0.0667,0.0,0.0,0.0,0.0,0.0,0.1233,0.5981,0.6795,0.5994,0.5371,0.6795,0.0801,WAYPOINT1,0.4818,True,0.3384,,,,,,,,
R0007,WAYPOINT0,text,moderate,cat,q4,metacognitive,"Because the story mentioned it was raining and cold, and you don't want to get stuck in the rain without one.",21,0.2,0.0,0.0333,0.25,0.0,0.0,0.0,1.0,0.0992,0.4556,0.5414,0.4408,0.511,0.5414,0.0304,,0.5056,True,0.343,,,,,,,,
R0007,WAYPOINT0,text,moderate,lying,q1,inference,I honestly don't know why she didn't tell the teacher.,10,0.0,0.0,0.0,0.0,,,,,0.0,0.8779,0.7972,0.6315,0.6175,0.8779,0.0807,WAYPOINT0,0.446,True,0.2676,0.0,0.0,0.0,0.0,,,,
R0007,WAYPOINT0,text,moderate,lying,q2,metacognitive,"It just says she answered the teacher and then went back to taking her test, so I'm not sure.",19,0.2,0.0,0.0667,0.0,,,,,0.0733,0.4464,0.6419,0.4297,0.5064,0.6419,0.1355,,0.4973,True,0.3277,0.0,0.0,0.0,0.0,,,,
R0007,WAYPOINT0,text,moderate,lying,q3,inference,A lesson could be that you should always use a good pencil when you bubble in answers.,17,0.0,0.0,0.0,0.25,,,,,0.0375,0.5712,0.6897,0.5611,0.5387,0.6897,0.1184,WAYPOINT1,0.484,True,0.3054,0.0,0.0,1.0,0.0,,,,
R0007,WAYPOINT0,text,moderate,lying,q4,metacognitive,Because the story talked about how Rachel was bubbling in every answer on her sheet really quickly.,17,0.6,0.0,0.1,0.25,,,,,0.2225,0.4501,0.7358,0.4085,0.6102,0.7358,0.1256,WAYPOINT1,0.5116,True,0.396,1.0,0.0,0.0,0.0,,,,
R0007,WAYPOINT0,text,moderate,stealing,q1,inference,Because wallets are used to hold important things like business cards and IDs.,13,0.0,0.0,0.0,0.0,,,,,0.0,0.3773,0.5515,0.5154,0.5414,0.5515,0.0101,,0.5383,True,0.323,,,,,0.0,0.0,0.0,0.0
R0007,WAYPOINT0,text,moderate,stealing,q2,metacognitive,That's just what wallets are used for in real life so I thought of that.,15,0.0,0.0,0.0,0.25,,,,,0.0375,0.3532,0.5109,0.3934,0.5414,0.5414,0.0304,,0.5414,True,0.3398,,,,,1.0,0.0,0.0,0.0
R0007,WAYPOINT0,text,moderate,stealing,q3,inference,I don't really know what the lesson would be.,9,0.0,0.0,0.0,0.0,,,,,0.0,0.9245,0.6328,0.6138,0.5092,0.9245,0.2917,WAYPOINT0,0.4213,True,0.2528,,,,,0.0,0.0,0.0,0.0
R0007,WAYPOINT0,text,moderate,stealing,q4,metacognitive,The story just ends with him talking to the lady and doesn't explain a lesson.,15,0.0,0.0,0.0,0.25,,,,,0.0375,0.5321,0.5072,0.4179,0.4884,0.5321,0.0249,,0.4811,True,0.3037,,,,,1.0,0.0,0.0,0.0
R0008,WAYPOINT0,comic,lot,cat,q1,inference,I am honestly completely uncertain as to why the boy chose to keep the feline. A logical explanation simply doesn't manifest for me.,23,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.0,0.0375,0.6143,0.7309,0.6735,0.6203,0.7309,0.0573,WAYPOINT1,0.4975,True,0.3135,,,,,,,,
R0008,WAYPOINT0,comic,lot,cat,q2,metacognitive,"I formulated that response because I genuinely do not know. I reviewed the sequence of the panels extensively, but his exact psychological motivation remains entirely ambiguous to me.",28,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.0,0.0375,0.5586,0.4222,0.3449,0.4764,0.5586,0.0822,,0.47,True,0.297,,,,,,,,
R0008,WAYPOINT0,comic,lot,cat,q3,inference,A potential takeaway from this narrative is that basketball is a rigorous sport that significantly enhances cardiovascular health and overall physical agility.,22,0.2,0.0,0.0333,0.0,0.0,0.0,0.0,0.0,0.0617,0.3893,0.3864,0.3726,0.379,0.3893,0.0029,,0.4951,True,0.3217,,,,,,,,
R0008,WAYPOINT0,comic,lot,cat,q4,metacognitive,I concluded this because the youths are explicitly depicted discussing and playing basketball. It is a universally established scientific fact that engaging in such dynamic team sports is phenomenal for your physical well-being.,33,0.4,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.255,0.3914,0.3954,0.3675,0.4822,0.4822,0.0867,,0.5249,True,0.4169,,,,,,,,
R0008,WAYPOINT0,comic,lot,lying,q1,inference,I honestly have absolutely no idea why Sarah decided to keep that information from her instructor.,16,0.0,0.0,0.0,0.0,,,,,0.0,0.6777,0.7438,0.6911,0.6788,0.7438,0.0528,WAYPOINT1,0.497,True,0.2982,0.0,0.0,0.0,0.0,,,,
R0008,WAYPOINT0,comic,lot,lying,q2,metacognitive,I formulated this response because I simply couldn't deduce a logical explanation for her behavior from the provided illustrations.,19,0.0,0.0,0.0,0.0,,,,,0.0,0.5118,0.5033,0.413,0.5156,0.5156,0.0038,,0.4932,True,0.2959,0.0,0.0,0.0,0.0,,,,
R0008,WAYPOINT0,comic,lot,lying,q3,inference,A lesson you could potentially learn from this story is that green chalkboards are an outdated technology for modern classrooms.,20,0.0,0.0,0.0,0.0,,,,,0.0,0.5377,0.5877,0.4902,0.4965,0.5877,0.0499,,0.4825,True,0.2895,0.0,0.0,0.0,0.0,,,,
R0008,WAYPOINT0,comic,lot,lying,q4,metacognitive,"I based this conclusion entirely on the illustration of the teacher standing in front of the board, which just reminded me that most educational facilities use smartboards nowadays.",28,0.0,0.0,0.0,0.25,,,,,0.0375,0.3701,0.459,0.2973,0.3631,0.459,0.089,,0.4795,True,0.3027,1.0,0.0,0.0,0.0,,,,
R0008,WAYPOINT0,comic,lot,stealing,q1,inference,I genuinely have no idea why he decided to keep the lady's wallet. Perhaps he is just an avid collector of random leather accessories.,24,0.4,0.0,0.0,0.25,,,,,0.1375,0.4626,0.6296,0.585,0.6081,0.6296,0.0215,,0.5286,True,0.3722,,,,,1.0,0.0,0.0,0.0
